Time [s];Voltage [V];Current [A]
235.5;13.013;10
236;13.013;10
236.5;13.013;10
237;13.012;10
237.5;13.012;10
238;13.012;10
238.5;13.012;10
239;13.012;10
239.5;13.012;10
240;13.012;10
240.5;13.012;10
241;13.011;10
241.5;13.011;10
242;13.011;10
242.5;13.011;10
243;13.011;10
243.5;13.011;10
244;13.011;10
244.5;13.011;10
245;13.011;10
245.5;13.01;10
246;13.01;10
246.5;13.01;10
247;13.01;10
247.5;13.01;10
248;13.01;10
248.5;13.009;10
249;13.009;10
249.5;13.009;10
250;13.009;10
250.5;13.009;10
251;13.009;10
251.5;13.009;10
252;13.009;10
252.5;13.009;10
253;13.007;10
253.5;13.007;10
254;13.006;10
254.5;13.006;10
255;13.007;10
255.5;13.007;10
256;13.006;10
256.5;13.007;10
257;13.007;10
257.5;13.006;10
258;13.006;10
258.5;13.006;10
259;13.006;10
259.5;13.006;10
260;13.006;10
260.5;13.006;10
261;13.006;10
261.5;13.006;10
262;13.006;10
262.5;13.006;10
263;13.004;10
263.5;13.004;10
264;13.004;10
264.5;13.004;10
265;13.004;10
265.5;13.004;10
266;13.004;10
266.5;13.004;10
267;13.004;10
267.5;13.004;10
268;13.004;10
268.5;13.004;10
269;13.004;10
269.5;13.004;10
270;13.004;10
270.5;13.004;10
271;13.004;10
271.5;13.004;10
272;13.004;10
272.5;13.003;10
273;13.003;10
273.5;13.003;10
274;13.003;10
274.5;13.003;10
275;13.003;10
275.5;13.003;10
276;13.003;10
276.5;13.003;10
277;13.003;10
277.5;13.003;10
278;13.003;10
278.5;13.003;10
279;13.002;10
279.5;13.002;10
280;13.002;10
280.5;13.002;10
281;13.002;10
281.5;13.002;10
282;13.002;10
282.5;13.002;10
283;13.002;10
283.5;13.002;10
284;13.002;10
284.5;12.998;10.188
285;12.99;10.5
285.5;12.99;10.5
286;12.99;10.5
286.5;12.989;10.5
287;12.989;10.5
287.5;12.989;10.5
288;12.989;10.5
288.5;12.989;10.5
289;12.989;10.5
289.5;12.987;10.5
290;12.986;10.5
290.5;12.985;10.5
291;12.985;10.5
291.5;12.983;10.5
292;12.984;10.5
292.5;12.983;10.5
293;12.983;10.5
293.5;12.983;10.5
294;12.984;10.5
294.5;12.983;10.5
295;12.983;10.5
295.5;12.984;10.5
296;12.984;10.5
296.5;12.984;10.5
297;12.984;10.5
297.5;12.984;10.5
298;12.984;10.5
298.5;12.984;10.5
299;12.984;10.5
299.5;12.984;10.5
300;12.984;10.5
300.5;12.984;10.5
301;12.984;10.5
301.5;12.984;10.5
302;12.984;10.5
302.5;12.984;10.5
303;12.984;10.5
303.5;12.984;10.5
304;12.984;10.5
304.5;12.983;10.5
305;12.983;10.5
305.5;12.983;10.5
306;12.983;10.5
306.5;12.984;10.5
307;12.983;10.5
307.5;12.983;10.5
308;12.983;10.5
308.5;12.983;10.5
309;12.983;10.5
309.5;12.983;10.5
310;12.983;10.5
310.5;12.983;10.5
311;12.983;10.5
311.5;12.983;10.5
312;12.983;10.5
312.5;12.983;10.5
313;12.983;10.5
313.5;12.982;10.5
314;12.982;10.5
314.5;12.981;10.5
315;12.981;10.5
315.5;12.981;10.5
316;12.981;10.5
316.5;12.981;10.5
317;12.981;10.5
317.5;12.981;10.5
318;12.981;10.5
318.5;12.981;10.5
319;12.981;10.5
319.5;12.981;10.5
320;12.981;10.5
320.5;12.981;10.5
321;12.981;10.5
321.5;12.981;10.5
322;12.981;10.5
322.5;12.981;10.5
323;12.981;10.5
323.5;12.981;10.5
324;12.981;10.5
324.5;12.981;10.5
325;12.981;10.5
325.5;12.981;10.5
326;12.981;10.5
326.5;12.981;10.5
327;12.981;10.5
327.5;12.981;10.5
328;12.981;10.5
328.5;12.981;10.5
329;12.981;10.5
329.5;12.981;10.5
330;12.981;10.5
330.5;12.981;10.5
331;12.98;10.5
331.5;12.98;10.5
332;12.98;10.5
332.5;12.98;10.5
333;12.98;10.5
333.5;12.98;10.5
334;12.978;10.5
334.5;12.978;10.5
335;12.978;10.5
335.5;12.978;10.5
336;12.979;10.5
336.5;12.979;10.5
337;12.978;10.5
337.5;12.978;10.5
338;12.978;10.5
338.5;12.978;10.5
339;12.978;10.5
339.5;12.978;10.5
340;12.978;10.5
340.5;12.978;10.5
341;12.978;10.5
341.5;12.978;10.5
342;12.978;10.5
342.5;12.978;10.5
343;12.978;10.5
343.5;12.978;10.5
344;12.978;10.5
344.5;12.978;10.5
345;12.978;10.5
345.5;12.978;10.5
346;12.978;10.5
346.5;12.978;10.5
347;12.978;10.5
347.5;12.978;10.5
348;12.976;10.5
348.5;12.975;10.5
349;12.976;10.5
349.5;12.976;10.5
350;12.976;10.5
350.5;12.976;10.5
351;12.976;10.5
351.5;12.976;10.5
352;12.976;10.5
352.5;12.976;10.5
353;12.976;10.5
353.5;12.976;10.5
354;12.976;10.5
354.5;12.976;10.5
355;12.976;10.5
355.5;12.976;10.5
356;12.976;10.5
356.5;12.975;10.5
357;12.975;10.5
357.5;12.974;10.5
358;12.974;10.5
358.5;12.974;10.5
359;12.974;10.5
359.5;12.974;10.5
360;12.974;10.5
360.5;12.974;10.5
361;12.974;10.5
361.5;12.974;10.5
362;12.974;10.5
362.5;12.974;10.5
363;12.974;10.5
363.5;12.974;10.5
364;12.974;10.5
364.5;12.974;10.5
365;12.974;10.5
365.5;12.974;10.5
366;12.974;10.5
366.5;12.974;10.5
367;12.974;10.5
367.5;12.974;10.5
368;12.974;10.5
368.5;12.974;10.5
369;12.974;10.5
369.5;12.974;10.5
370;12.974;10.5
370.5;12.974;10.5
371;12.974;10.5
371.5;12.974;10.5
372;12.974;10.5
372.5;12.974;10.5
373;12.974;10.5
373.5;12.974;10.5
374;12.974;10.5
374.5;12.974;10.5
375;12.974;10.5
375.5;12.973;10.5
376;12.973;10.5
376.5;12.973;10.5
377;12.973;10.5
377.5;12.973;10.5
378;12.972;10.5
378.5;12.972;10.5
379;12.972;10.5
379.5;12.972;10.5
380;12.971;10.5
380.5;12.972;10.5
381;12.972;10.5
381.5;12.972;10.5
382;12.971;10.5
382.5;12.97;10.5
383;12.971;10.5
383.5;12.97;10.5
384;12.97;10.5
384.5;12.97;10.5
385;12.971;10.5
385.5;12.971;10.5
386;12.97;10.5
386.5;12.97;10.5
387;12.971;10.5
387.5;12.971;10.5
388;12.971;10.5
388.5;12.971;10.5
389;12.971;10.5
389.5;12.97;10.5
390;12.971;10.5
390.5;12.971;10.5
391;12.971;10.5
391.5;12.969;10.5
392;12.969;10.5
392.5;12.969;10.5
393;12.968;10.5
393.5;12.969;10.5
394;12.968;10.5
394.5;12.968;10.5
395;12.969;10.5
395.5;12.968;10.5
396;12.968;10.5
396.5;12.968;10.5
397;12.968;10.5
397.5;12.969;10.5
398;12.969;10.5
398.5;12.969;10.5
399;12.969;10.5
399.5;12.969;10.5
400;12.969;10.5
400.5;12.969;10.5
401;12.969;10.5
401.5;12.969;10.5
402;12.969;10.5
402.5;12.968;10.5
403;12.967;10.5
403.5;12.968;10.5
404;12.968;10.5
404.5;12.968;10.5
405;12.968;10.5
405.5;12.968;10.5
406;12.968;10.5
406.5;12.968;10.5
407;12.968;10.5
407.5;12.968;10.5
408;12.968;10.5
408.5;12.968;10.5
409;12.968;10.5
409.5;12.968;10.5
410;12.968;10.5
410.5;12.968;10.5
411;12.968;10.5
411.5;12.968;10.5
412;12.968;10.5
412.5;12.968;10.5
413;12.968;10.5
413.5;12.968;10.5
414;12.968;10.5
414.5;12.968;10.5
415;12.968;10.5
415.5;12.968;10.5
416;12.968;10.5
416.5;12.968;10.5
417;12.968;10.5
417.5;12.968;10.5
418;12.968;10.5
418.5;12.968;10.5
419;12.968;10.5
419.5;12.968;10.5
420;12.968;10.5
420.5;12.968;10.5
421;12.968;10.5
421.5;12.968;10.5
422;12.968;10.5
422.5;12.968;10.5
423;12.968;10.5
423.5;12.968;10.5
424;12.968;10.5
424.5;12.968;10.5
425;12.968;10.5
425.5;12.967;10.5
426;12.967;10.5
426.5;12.967;10.5
427;12.967;10.5
427.5;12.967;10.5
428;12.967;10.5
428.5;12.967;10.5
429;12.967;10.5
429.5;12.967;10.5
430;12.967;10.5
430.5;12.967;10.5
431;12.967;10.5
431.5;12.967;10.5
432;12.967;10.5
432.5;12.967;10.5
433;12.967;10.5
433.5;12.967;10.5
434;12.967;10.5
434.5;12.967;10.5
435;12.967;10.5
435.5;12.967;10.5
436;12.967;10.5
436.5;12.967;10.5
437;12.967;10.5
437.5;12.967;10.5
438;12.967;10.5
438.5;12.967;10.5
439;12.967;10.5
439.5;12.967;10.5
440;12.967;10.5
440.5;12.967;10.5
441;12.967;10.5
441.5;12.967;10.5
442;12.966;10.5
442.5;12.966;10.5
443;12.966;10.5
443.5;12.966;10.5
444;12.966;10.5
444.5;12.966;10.5
445;12.966;10.5
445.5;12.966;10.5
446;12.966;10.5
446.5;12.966;10.5
447;12.966;10.5
447.5;12.966;10.5
448;12.966;10.5
448.5;12.966;10.5
449;12.966;10.5
449.5;12.966;10.5
450;12.966;10.5
450.5;12.966;10.5
451;12.966;10.5
451.5;12.966;10.5
452;12.966;10.5
452.5;12.966;10.5
453;12.966;10.5
453.5;12.966;10.5
454;12.966;10.5
454.5;12.966;10.5
455;12.966;10.5
455.5;12.966;10.5
456;12.966;10.5
456.5;12.966;10.5
457;12.966;10.5
457.5;12.966;10.5
458;12.965;10.5
