Time [s];Cella hõmérséklete [°C];Szoba hõmérséklete [°C]
181.3;23.7;23.53
181.7;23.7;23.62
182.2;23.7;23.62
182.6;23.7;23.53
183;23.7;23.53
183.4;23.7;23.53
183.8;23.7;23.53
184.2;23.7;23.53
184.6;23.7;23.53
185;23.7;23.53
185.4;23.7;23.53
185.8;23.7;23.53
186.2;23.7;23.53
186.6;23.7;23.53
187;23.7;23.53
187.5;23.7;23.53
187.9;23.7;23.53
188.3;23.7;23.53
188.7;23.7;23.53
189.1;23.7;23.53
189.5;23.7;23.53
189.9;23.7;23.53
190.3;23.7;23.53
190.7;23.7;23.53
191.1;23.7;23.53
191.5;23.7;23.62
191.9;23.7;23.53
192.3;23.7;23.62
192.8;23.7;23.62
193.2;23.7;23.53
193.6;23.7;23.53
194;23.7;23.53
194.4;23.7;23.53
194.8;23.7;23.53
195.2;23.7;23.53
195.6;23.7;23.53
196;23.7;23.62
196.4;23.7;23.53
196.8;23.7;23.53
197.2;23.7;23.53
197.6;23.7;23.53
198;23.7;23.53
198.5;23.7;23.53
198.9;23.7;23.53
199.3;23.7;23.53
199.7;23.7;23.53
200.1;23.7;23.53
200.5;23.7;23.53
200.9;23.7;23.53
201.3;23.7;23.53
201.7;23.7;23.53
202.1;23.7;23.53
202.5;23.7;23.53
202.9;23.7;23.53
203.4;23.7;23.53
203.8;23.7;23.53
204.2;23.7;23.53
204.6;23.7;23.53
205;23.7;23.53
205.4;23.7;23.53
205.8;23.7;23.53
206.2;23.7;23.53
206.6;23.7;23.53
207;23.7;23.53
207.4;23.7;23.53
207.8;23.7;23.53
208.2;23.7;23.53
208.7;23.7;23.53
209.1;23.7;23.53
209.5;23.7;23.53
209.9;23.7;23.53
210.3;23.7;23.53
210.7;23.7;23.53
211.1;23.7;23.53
211.5;23.7;23.53
211.9;23.7;23.53
212.3;23.7;23.53
212.7;23.7;23.53
213.1;23.7;23.53
213.5;23.7;23.53
214;23.7;23.53
214.4;23.7;23.53
214.8;23.7;23.53
215.2;23.7;23.53
215.6;23.7;23.53
216;23.7;23.53
216.4;23.7;23.53
216.8;23.7;23.53
217.2;23.7;23.53
217.6;23.7;23.53
218;23.7;23.53
218.4;23.7;23.53
218.9;23.7;23.53
219.3;23.7;23.53
219.7;23.7;23.53
220.1;23.7;23.53
220.5;23.7;23.53
220.9;23.7;23.53
221.3;23.7;23.53
221.7;23.7;23.53
222.1;23.7;23.53
222.5;23.7;23.53
222.9;23.7;23.53
223.3;23.7;23.53
223.7;23.7;23.53
224.1;23.7;23.53
224.5;23.7;23.53
225;23.7;23.53
225.4;23.7;23.53
225.8;23.7;23.53
226.2;23.7;23.53
226.6;23.7;23.53
227;23.7;23.53
227.4;23.7;23.53
227.8;23.7;23.53
228.2;23.7;23.53
228.6;23.7;23.53
229;23.7;23.53
229.4;23.7;23.53
229.8;23.7;23.53
230.3;23.7;23.53
230.7;23.7;23.53
231.1;23.7;23.53
231.5;23.7;23.53
231.9;23.7;23.53
232.3;23.7;23.53
232.7;23.7;23.53
233.1;23.7;23.53
233.5;23.7;23.53
233.9;23.7;23.53
234.3;23.7;23.53
234.7;23.7;23.53
235.2;23.7;23.53
235.6;23.7;23.53
236;23.7;23.53
236.4;23.7;23.53
236.8;23.7;23.53
237.2;23.7;23.53
237.6;23.7;23.53
238;23.7;23.53
238.4;23.7;23.53
238.8;23.7;23.53
239.2;23.7;23.53
239.6;23.7;23.53
240;23.7;23.53
240.4;23.7;23.53
240.9;23.7;23.53
241.3;23.7;23.53
241.7;23.7;23.53
242.1;23.7;23.53
242.5;23.7;23.53
242.9;23.7;23.53
243.3;23.7;23.53
243.7;23.7;23.53
244.1;23.7;23.53
244.5;23.7;23.53
244.9;23.7;23.53
245.3;23.7;23.53
245.8;23.7;23.53
246.2;23.7;23.53
246.6;23.7;23.53
247;23.7;23.53
247.4;23.7;23.53
247.8;23.7;23.53
248.2;23.7;23.53
248.6;23.7;23.53
249;23.7;23.53
249.4;23.7;23.53
249.8;23.7;23.53
250.2;23.7;23.53
250.6;23.7;23.53
251;23.7;23.53
251.5;23.7;23.53
251.9;23.7;23.53
252.3;23.7;23.53
252.7;23.7;23.53
253.1;23.7;23.53
253.5;23.7;23.53
253.9;23.7;23.53
254.3;23.7;23.53
254.7;23.7;23.53
255.1;23.7;23.53
255.5;23.7;23.53
255.9;23.7;23.53
256.3;23.7;23.53
256.8;23.7;23.53
257.2;23.7;23.53
257.6;23.7;23.53
258;23.7;23.53
258.4;23.7;23.53
258.8;23.7;23.53
259.2;23.7;23.53
259.6;23.7;23.53
260;23.7;23.53
260.4;23.7;23.53
260.8;23.7;23.53
261.2;23.7;23.53
261.7;23.7;23.53
262.1;23.7;23.53
262.5;23.7;23.53
262.9;23.7;23.53
263.3;23.7;23.53
263.7;23.7;23.53
264.1;23.7;23.53
264.5;23.7;23.53
264.9;23.7;23.53
265.3;23.7;23.53
265.7;23.7;23.53
266.1;23.7;23.53
266.5;23.7;23.53
266.9;23.7;23.53
267.4;23.7;23.53
267.8;23.7;23.53
268.2;23.7;23.53
268.6;23.7;23.53
269;23.7;23.53
269.4;23.7;23.53
269.8;23.7;23.53
270.2;23.7;23.53
270.6;23.7;23.53
271;23.7;23.53
271.4;23.7;23.53
271.8;23.7;23.53
272.2;23.7;23.53
272.6;23.7;23.53
273.1;23.7;23.53
273.5;23.7;23.53
273.9;23.7;23.53
274.3;23.7;23.53
274.7;23.7;23.53
275.1;23.7;23.53
275.5;23.7;23.53
