Time [s];Cell_1 Volatge [V];Cell_2 Volatge [V];Cell_3 Volatge [V];Cell_4 Volatge [V]
105.6;3.398;3.394;3.389;3.442
106;3.394;3.403;3.394;3.447
106.4;3.398;3.398;3.389;3.447
106.8;3.389;3.394;3.389;3.442
107.3;3.389;3.394;3.389;3.442
107.7;3.389;3.394;3.389;3.442
108.1;3.394;3.389;3.384;3.442
108.5;3.389;3.389;3.389;3.437
108.9;3.389;3.389;3.389;3.433
109.3;3.384;3.389;3.384;3.437
109.8;3.394;3.389;3.384;3.437
110.2;3.389;3.389;3.379;3.433
110.6;3.384;3.384;3.379;3.437
111;3.384;3.389;3.384;3.433
111.4;3.389;3.389;3.384;3.433
111.8;3.384;3.384;3.379;3.433
112.3;3.379;3.384;3.379;3.433
112.7;3.379;3.384;3.379;3.428
113.1;3.374;3.379;3.374;3.428
113.5;3.379;3.384;3.379;3.428
113.9;3.379;3.379;3.384;3.428
114.4;3.374;3.384;3.379;3.423
114.8;3.379;3.379;3.374;3.423
115.2;3.379;3.374;3.374;3.423
115.6;3.374;3.379;3.374;3.423
116;3.369;3.374;3.374;3.423
116.4;3.364;3.379;3.374;3.423
116.9;3.369;3.379;3.374;3.418
117.3;3.369;3.379;3.374;3.418
117.7;3.374;3.374;3.369;3.418
118.1;3.364;3.374;3.369;3.418
118.5;3.369;3.369;3.369;3.418
119;3.369;3.374;3.369;3.413
119.4;3.374;3.374;3.369;3.418
119.8;3.369;3.374;3.369;3.413
120.2;3.364;3.369;3.369;3.413
120.6;3.364;3.369;3.364;3.413
121;3.369;3.369;3.364;3.413
121.5;3.369;3.369;3.364;3.408
121.9;3.369;3.374;3.369;3.413
122.3;3.359;3.369;3.369;3.408
122.7;3.364;3.364;3.364;3.408
123.1;3.354;3.369;3.364;3.408
123.6;3.364;3.364;3.364;3.408
124;3.364;3.364;3.364;3.408
124.4;3.364;3.364;3.364;3.403
124.8;3.364;3.364;3.364;3.408
125.2;3.364;3.369;3.364;3.408
125.7;3.354;3.364;3.359;3.403
126.1;3.359;3.359;3.364;3.403
126.5;3.354;3.359;3.364;3.403
126.9;3.359;3.364;3.359;3.403
127.3;3.364;3.369;3.359;3.403
127.7;3.354;3.359;3.354;3.403
128.2;3.359;3.359;3.359;3.398
128.6;3.354;3.359;3.359;3.403
129;3.359;3.359;3.354;3.398
129.4;3.359;3.364;3.359;3.398
129.8;3.354;3.359;3.359;3.394
130.2;3.359;3.354;3.359;3.403
130.7;3.35;3.354;3.354;3.394
131.1;3.354;3.359;3.354;3.394
131.5;3.354;3.354;3.354;3.398
131.9;3.359;3.354;3.354;3.394
132.3;3.354;3.35;3.354;3.398
132.8;3.359;3.359;3.354;3.394
133.2;3.345;3.354;3.354;3.394
133.6;3.345;3.354;3.354;3.398
134;3.354;3.354;3.354;3.394
134.4;3.345;3.35;3.35;3.389
134.9;3.35;3.354;3.35;3.389
135.3;3.35;3.354;3.354;3.394
135.7;3.354;3.354;3.35;3.394
136.1;3.354;3.35;3.35;3.389
136.5;3.35;3.35;3.35;3.389
136.9;3.35;3.35;3.35;3.389
137.4;3.345;3.35;3.35;3.389
137.8;3.354;3.345;3.35;3.389
138.2;3.35;3.35;3.35;3.389
138.6;3.345;3.345;3.35;3.384
139;3.345;3.35;3.345;3.384
139.4;3.345;3.35;3.345;3.384
139.9;3.35;3.35;3.354;3.389
140.3;3.345;3.35;3.35;3.379
140.7;3.34;3.345;3.345;3.384
141.1;3.345;3.35;3.35;3.384
141.5;3.345;3.35;3.345;3.384
142;3.345;3.345;3.35;3.379
142.4;3.34;3.345;3.35;3.384
142.8;3.34;3.345;3.345;3.379
143.2;3.34;3.345;3.34;3.384
143.6;3.34;3.345;3.345;3.379
144;3.34;3.34;3.345;3.374
144.5;3.345;3.345;3.345;3.379
144.9;3.34;3.345;3.34;3.379
145.3;3.345;3.345;3.345;3.384
145.7;3.33;3.345;3.34;3.379
146.1;3.34;3.34;3.34;3.379
146.6;3.34;3.34;3.34;3.374
147;3.34;3.34;3.34;3.374
147.4;3.335;3.34;3.34;3.374
147.8;3.335;3.345;3.34;3.369
148.2;3.34;3.34;3.34;3.374
148.6;3.335;3.34;3.34;3.374
149.1;3.335;3.34;3.34;3.369
149.5;3.335;3.34;3.34;3.379
149.9;3.335;3.34;3.335;3.379
150.3;3.335;3.34;3.34;3.374
150.7;3.34;3.34;3.34;3.374
151.2;3.34;3.345;3.33;3.369
151.6;3.335;3.335;3.34;3.369
152;3.335;3.335;3.335;3.369
152.4;3.335;3.335;3.34;3.374
152.8;3.325;3.34;3.335;3.369
153.2;3.335;3.34;3.335;3.369
153.7;3.34;3.335;3.335;3.374
