Time [s];Voltage [V];Current [A]
175.8;3.44;5
176.2;3.44;5
176.6;3.44;5
177;3.44;5
177.5;3.44;5
177.9;3.44;5
178.3;3.44;5
178.7;3.44;5
179.1;3.44;5
179.5;3.44;5
179.9;3.44;5
180.3;3.44;5
180.7;3.44;5
181.1;3.44;5
181.5;3.44;5
181.9;3.44;5
182.3;3.44;5
182.8;3.44;5
183.2;3.44;5
183.6;3.44;5
184;3.44;5
184.4;3.44;5
184.8;3.44;5
185.2;3.44;5
185.6;3.44;5
186;3.44;5
186.4;3.44;5
186.8;3.44;5
187.2;3.44;5
187.6;3.44;5
188.1;3.44;5
188.5;3.44;5
188.9;3.44;5
189.3;3.44;5
189.7;3.44;5
190.1;3.44;5
190.5;3.44;5
190.9;3.44;5
191.3;3.44;5
191.7;3.44;5
192.1;3.44;5
192.5;3.44;5
192.9;3.44;5
193.4;3.44;5
193.8;3.44;5
194.2;3.44;5
194.6;3.44;5
195;3.44;5
195.4;3.44;5
195.8;3.44;5
196.2;3.44;5
196.6;3.44;5
197;3.44;5
197.4;3.44;5
197.8;3.44;5
198.2;3.44;5
198.7;3.44;5
199.1;3.44;5
199.5;3.44;5
199.9;3.44;5
200.3;3.44;5
200.7;3.44;5
201.1;3.44;5
201.5;3.44;5
201.9;3.44;5
202.3;3.44;5
202.7;3.44;5
203.1;3.44;5
203.5;3.44;5
204;3.44;5
204.4;3.44;5
204.8;3.44;5
205.2;3.44;5
205.6;3.44;5
206;3.44;5
206.4;3.44;5
206.8;3.44;5
207.2;3.44;5
207.6;3.44;5
208;3.44;5
208.4;3.44;5
208.9;3.44;5
209.3;3.44;5
209.7;3.44;5
210.1;3.44;5
210.5;3.44;5
210.9;3.44;5
211.3;3.44;5
211.7;3.44;5
212.1;3.44;5
212.5;3.44;5
212.9;3.44;5
213.3;3.44;5
213.7;3.44;5
214.2;3.44;5
214.5;3.44;5
215;3.44;5
215.4;3.44;5
215.8;3.44;5
216.2;3.44;5
216.6;3.44;5
217;3.44;5
217.4;3.44;5
217.8;3.44;5
218.2;3.44;5
218.6;3.44;5
219;3.44;5
219.4;3.44;5
219.8;3.44;5
220.3;3.44;5
220.7;3.44;5
221.1;3.44;5
221.5;3.44;5
221.9;3.44;5
222.3;3.44;5
222.7;3.44;5
223.1;3.44;5
223.5;3.44;5
223.9;3.44;5
224.3;3.44;5
224.7;3.44;5
